,,,,,TF-IDF,ELMo,USE,Sentence length,Stopword count,WH question type,,,GS
2919412,how can type 1 diabetes be prevented? ,[],[],[],1,1,1,1,1,1,,,
,,,,,,,,,,,,,
2518243,I am really scared i might have type 1 diabetes how can i prevent it???? ,[],[],[],0.366681406,0.682291031,0.855071902,0.428571429,0.5,1,,,5
19812,How can i prevent diabetes? ,,,,0.871097236,0.772841871,0.876634717,0.857142857,0.75,1,,,4.666666667
2758861,Foods to eat/avoid to prevent diabetes? ,,,,0.33765206,0.562783063,0.746196389,0.928571429,0.5,0,,,4.333333333
2589319,"Does exercise after dinner prevent Diabetes? Does exercise after eating help prevent diabetes? If so, how long after eating?",,,,0.307222377,0.653384447,0.756554067,0.142857143,0.75,1,,,3.666666667
610804,what does type 1 diabetics have to take tell me specifically.? ,[],[],[],0.166582533,0.740400434,0.823413372,0.714285714,0.5,1,,,3
174432,does type 2 diabetes have a cure? ,[],[],[],0.271778001,0.791759014,0.833041132,1,1,0,,,2.666666667
194868,"diabetes type 1, is it curable? ",[],[],[],0.271778001,0.677583158,0.825642228,0.928571429,0.75,0,,,2.666666667
1065223,what are the causes of type 2 diabetes? ,[],[],[],0.271778001,0.697450995,0.851846516,0.928571429,0.75,1,,,1.833333333
573234,what is type 1 and 2 diabetes? please explain type 1 and 2 diabetes?,[],[],[],0.355467743,0.738543153,0.886481881,0.5,1,1,,,1.666666667
1020568,how can we prevent osteoporosis? ,,,,0.342205851,0.71301204,0.633823037,0.857142857,1,1,,,0.666666667
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
