,,,,,TF-IDF,ELMo,USE,Sentence length,Stopword count,WH question type,,,GS
3768550,what are the symptoms of having diabetes ? Diabetes Type 2,[],[],[],1,0.999999821,1.000000119,1,1,1,,,
,,,,,,,,,,,,,
540859,What are the symptoms of type 2 diabetes? ,[],[],[],0.947515761,0.856732249,0.96588397,0.666666667,0.666666667,1,,,5
2310962,what are the symptoms of diabetes 2? ,[],[],[],0.81630387,0.882366777,0.919587374,0.555555556,0.833333333,1,,,5
1616555,what is symptoms signs of diabetes type 2? symptoms of type 1 diabetes,[],[],[],0.779455245,0.852791905,0.9500916,0.777777778,0.666666667,1,,,4.777777778
1013295,What are the first symptoms of diabetes type 2? ,[],[],[],0.510885554,0.862151325,0.967427075,0.777777778,0.666666667,1,,,4.666666667
660928,do you have diabetes symptoms before you develop diabetes? im talking about type 1,[],[],[],0.42761634,0.762350917,0.861955464,0.666666667,1,0,,,3.333333333
3323399,Clinical Diagnosis/ Differential Diagnosis for diabetes type 2? ,[],[],[],0.167167397,0.671103716,0.753151536,0.666666667,0.333333333,0,,,3
313837,how is diabetes type 2 diagnosed? ,[],[],[],0.410248528,0.801529288,0.934895098,0.444444444,0.5,1,,,2.666666667
69178,diabetes????????????????????????/? is stomach pain a diabetic symptom,,,,0.388071086,0.673944116,0.845584393,0.555555556,0.5,0,,,2
1065223,what are the causes of type 2 diabetes? ,[],[],[],0.37315167,0.783596039,0.938752115,0.666666667,0.833333333,1,,,1.666666667
194868,"diabetes type 1, is it curable? ",[],[],[],0.37315167,0.714084983,0.828454197,0.444444444,0.5,0,,,1.333333333
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
