,,,,,TF-IDF,ELMo,USE,Sentence length,Stopword count,WH question type,,,GS
1798500,"I am a diabetic person,,im 24 years of age... what should i do? What should i do? what to eat?",[],[],[],1,0.999999821,1,1,1,1,,,
,,,,,,,,,,,,,
3608885,"I have diabetes, my blood is over 200, what can I eat? This is for dinner, thank you.",[],[],[],0.110470748,0.843527198,0.770239174,0.857142857,1,1,,,4.666666667
10040,What kind of fruit can diabetic people eat the most? what fruit do people that have diabetes eat the most?,,,,0.14238123,0.655570149,0.675275266,1,1,1,,,4.333333333
76469,how to reduce cholestrol and diabates. my age is 27 years.? ,[],[],[],0.203962214,0.640000463,0.636268497,0.357142857,0.714285714,1,,,3.666666667
1263418,what should i eat or not eat if i have diabetes type 1? ,[],[],[],0.292088272,0.759997785,0.830215812,0.5,1,1,,,3.666666667
3215885,My father is 80 and diabetic. His creatinine hovers around 2.0. How can this be brought down? ,[],[],"['Creatinine', '=', '2.0']",0.02999361,0.738950014,0.664274335,0.785714286,0.714285714,1,,,2.666666667
880008,why after eating lunch I get too sleepy although as a type 1 diabetes my BS is in normarl range? ,[],[],[],0.077037784,0.738162339,0.671427012,1,0.857142857,1,,,2
37620,I am a type 1 diabetic. What is the chance I will pass diabetes to my kids? ,[],[],[],0.079130087,0.825568676,0.687186003,0.785714286,1,1,,,1.666666667
123590,What is the normal blood sugar level for a 14 year old ? what is it in mg ?,"['blood_glucose_measurement,', '=', '14,', 'year']",[],[],0.076236716,0.594683886,0.616122782,0.928571429,1,1,,,1.666666667
1372877,what % off people with diabetes are fat? And also are you fat thin or got type 1 just wonderin,[],[],[],0.024872557,0.691712737,0.52088356,1,1,1,,,0.666666667
3462199,my 16 yo sons Creatinine level is 115. What does this mean? ,[],[],"['Creatinine', '=', '16', 'Creatinine', '=', '115']",0,0.728173077,0.45158273,0.428571429,0.571428571,1,,,0.666666667
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
