,,,,,TF-IDF,ELMo,USE,Sentence length,Stopword count,WH question type,,,GS
2685502,Type 1 diabetes info? How much sugar should a type one diabetic have,[],[],[],1,1,1,1,1,1,,,
,,,,,,,,,,,,,
28891,Just diagnosed with Type 2 Diabetes. How much sugar can one have in a day? Or on a food label? ,[],[],[],0.409388808,0.835854232,0.866326511,0.533333333,0.5,1,,,3
573234,what is type 1 and 2 diabetes? please explain type 1 and 2 diabetes?,[],[],[],0.252066129,0.744729042,0.877449215,0.933333333,1,1,,,2.666666667
174413,what types of food can a type 1 diabetic eat? And how much? ,[],[],[],0.324126512,0.774662256,0.872748554,1,0.666666667,1,,,2.166666667
2555347,How do you get Diabetes type 1? ,[],[],[],0.183182125,0.679045558,0.899567723,0.6,0.833333333,1,,,2
83419,how do u know if you have Type 1 or Type 2 Diabetes? ,[],[],[],0.248967766,0.709264994,0.899634361,1,0.5,1,,,1.5
1938549,what is the difference between type 1 and type 2 diabetes? ,[],[],[],0.285541884,0.673073888,0.892851889,0.866666667,0.666666667,1,,,1.333333333
15223,How much sugar is in skim milk?I have type 2 diabetes and like milk with one meal? ,[],[],[],0.368961466,0.809568763,0.755506814,0.733333333,0.666666667,1,,,1
326495,Who has Diabetes type 2 insulin dependant? How much insulin do you take and how often?,[],[],[],0.167840467,0.832597017,0.87705636,0.8,0.666666667,1,,,0.833333333
941647,If you have type 2 diabetes how often does one have insulin injections? ,[],[],[],0.244492732,0.797418773,0.865681052,1,0.833333333,1,,,0.666666667
1536345,"people who have type 2 diabetes, is metformin good what does it do? ",[],[],[],0.111290071,0.798850477,0.880726636,1,0.5,1,,,0.666666667
