3386264,my serum creatinine level is 1.42 is it riski? i am alcoholic,[],[],"['serum_creatinine_level', '=', '1.42']",1,1.000000119,1
2247438,why plasma glucose is 10 to 15% higher than corresponding whole blood glucose concentration? ,"['plasma_glucose_result,', '>=', '10,', '%,', 'plasma_glucose_result,', '<=', '15,', '%']",[],[],0,0.700596988,0.540835798
2881748,i have not eaten in 2 days and my blood sugar levels are 159? are these levels high,"['blood_glucose_measurement,', '=', '2,', 'days,', 'blood_glucose_measurement,', '=', '159,']",[],[],0.081944547,0.707322121,0.433787674
3663888,is an A1c level of 8.0 bad? ,[],"['HBA1C,', '=', '8.0,']",[],0.060285235,0.593575537,0.416410446
3808799,I have nill glucose in urine test but my HbA1C is 10?/ How come? ,[],"['HBA1C,', '=', '10.0,']",[],0,0.526750624,0.370643944
83397,"My glucose is 120, tryglycerides 95, LDL 128, HDL 53, carbon dioxide 32, what does this mean? ","['Glucose,', '=', '120,', ',', 'Glucose,', '=', '95,', ',', 'Glucose,', '=', '128,', ',', 'Glucose,', '=', '53,', ',', 'Glucose,', '=', '32,']",[],[],0,0.629436016,0.473772854
3079780,"Albumin/Creatinine ratio? Is an Albumin/Creatinine ratio of 0.7 normal? Im female, 29.",[],[],"['Creatinine_ratio', '=', '0.7']",0,0.697087348,0.254918069
490298,"What is Serum Chemistry. My Serum Creatinine shows 1.50MG/DL, what that means & what precaution should be take? ",[],[],"['Creatinine', '=', '1.50', 'mg/dl']",0.348402919,0.647683024,0.561540127
1891547,i just had 3 cup water and did my blood sugar level it was 5.3 is this normal for non-diabetic? ,"['blood_glucose_measurement,', '=', '3,', ',', 'blood_glucose_measurement,', '=', '5.3,']",[],[],0.041318477,0.683625221,0.478050292
670465,"I had a starbucks an hr before a bloodtest, and my glucose was 230. Should i be worried? ","['Glucose,', '=', '230,']",[],[],0,0.475994408,0.332434654
863102,Should I celebrate my 6.6 A1c with a cream filled donut or a banana split? ,[],"['HBA1C,', '=', '6.6,']",[],0,0.534330249,0.28841719
1065217,108 glucose too high for your sugar level? ,"['Glucose,', '=', '108,']",[],[],0.058665173,0.70304209,0.568544686
2367457,My Nan has a blood sugar level of 2 I know this is bad (but how bad?)? thanks,"['blood_glucose_measurement,', '=', '2,']",[],[],0.038832077,0.573087454,0.349924415
1330863,I am female. Age 55years. My S creatinine 5.1 what can I do? ,[],[],"['Creatinine', '=', '5.1']",0.138859898,0.551125944,0.243006349
1856600,Fasting blood sugar is 130. am i diabetic? Im 30 years old female,"['Glucose,', '=', '130,']",[],[],0,0.656876981,0.40378809
590290,My blood sugar level is 112. Is it already a must for me to take/maintain 500-1000mg of Metformin everyday? ,"['blood_glucose_measurement,', '=', '112,']",[],[],0.02903461,0.615514457,0.415078014
2555099,fasting blood sugar question? if someone has a fasting blood sugar of 5.7( 105) is that highh??,"['Glucose,', '=', '5.7,']",[],[],0,0.69572711,0.460998416
3779970,"my 5 year old child fasting blood sugar is 110mg/dl ,How it is normal or she want to medicine,? ","['Glucose,', '=', '5,', 'year,', 'Glucose,', '=', '110,', 'mg/dl']",[],[],0,0.548143029,0.464403808
713903,Is a 6.0 A1C average over a 10 year period very good control? ,[],"['HBA1C,', '=', '6.0,']",[],0,0.415060818,0.348036975
3478300,is a 53.0 mg CREATININE level normal for a woman? ,[],[],"['Creatinine', '=', '53.0', 'mg']",0.196034571,0.778617144,0.418998778
1206724,is 160 blood surgar count high? Im 53 yr. old man with blood sugar level 160,"['blood_glucose_measurement,', '=', '160,']",[],[],0.026412622,0.684412777,0.411413699
790946,LOST 8-9-10 POUNDS...NOT DIABETIC BUT A1C WAS 6.1 IN JULY...WILL LOSING SOME WEIGHT HELP MY NEXT TESTING? ,[],"['HBA1C,', '=', '6.1,']",[],0,0.507851481,0.36771524
216699,after full food 2 hours later my random blood sugar level is 97.4 whether i am diabetic or not ? ,"['blood_glucose_measurement,', '=', '2,', 'hours,', 'blood_glucose_measurement,', '=', '97.4,']",[],[],0.032537285,0.693092763,0.433609903
2882318,how do you interpret a Fasting Plasma Glucose level of 6.2 mmol/l ? ,"['plasma_glucose_result,', '=', '6.2,', 'mmol/l']",[],[],0.038085851,0.71892941,0.429313541
951471,what is 8 year child sugar level? normal blood sugar level of 8years old Child after food  and before food,"['blood_glucose_measurement,', '=', '8,', 'years']",[],[],0.058148284,0.6823228,0.357634425
1830847,Is 4.2 a good A1C level? ,[],"['HBA1C,', '=', '4.2,']",[],0.054120634,0.392291665,0.473312914
430242,my 13 year olds blood sugar Level first thing in the morning before eating was 120 is this ok? ,"['blood_glucose_measurement,', '=', '13,', 'year,', 'blood_glucose_measurement,', '=', '120,']",[],[],0.034950307,0.598591685,0.410791457
3401766,Can a 32yr male experience low blood glucose sugar without having diabetes? ,"['Glucose,', '=', '32,']",[],[],0,0.677924037,0.466799349
2420503,is 398 a dangerous blood sugar level? ,"['blood_glucose_measurement,', '=', '398,']",[],[],0.054118154,0.641656637,0.469701171
150986,im m/28.i tested my blood sugar level after 20 min of supper.my blood sugar level shows 120.is this normal? ,"['blood_glucose_measurement,', '=', '28,', ',', 'blood_glucose_measurement,', '=', '20,', ',', 'blood_glucose_measurement,', '=', '120,']",[],[],0.055374103,0.71355325,0.455744505
2555305,Whats a healthy blood glucose in a 28yr old male 6\7 195lbs? Family history of diabetics .,"['Glucose,', '=', '28,']",[],[],0,0.539017558,0.331705391
3545649,Is 6.1 a good A1c level? Almost forgot I am a T1D.,[],"['HBA1C,', '=', '6.1,']",[],0.034774623,0.385821104,0.449509651
836896,is 80 a normal glucose reading? ,"['Glucose,', '=', '80,']",[],[],0,0.50730139,0.251837462
3779947,"Now that my diabetes is treated and my blood glucose is 100, will my urine glucose go to zero? ","['Glucose,', '=', '100,']",[],[],0,0.671593845,0.445265651
1606266,hba1c 6.5 does this indicate im diabetic? never had test before,[],"['HBA1C,', '=', '6.5,']",[],0,0.635692835,0.407379478
54045,Having 3+(1.0g/dl) glucose in urin safe? Sugar in urin is more dangerous than the sugar in blood? Plz answer.? ,"['Glucose,', '=', '3,', ',', 'Glucose,', '=', '1.0,', 'g/dl']",[],[],0,0.726839185,0.582861185
592796,I checked my blood sugar levels today and it read 9.5. Is this normal? ,"['blood_glucose_measurement,', '=', '9.5,']",[],[],0.041530218,0.507742584,0.368661314
517278,my blood sugar level is 400 what shall i do to reduce it? ,"['blood_glucose_measurement,', '=', '400,']",[],[],0.046662727,0.725409925,0.435416699
1330832,what is a normal blood sugar level for a 7 year old boy.? ,"['blood_glucose_measurement,', '=', '7,', 'year']",[],[],0.0535094,0.684544206,0.351144493
1224620,my glucose fasting test is 107. Is it normal? ,"['Glucose,', '=', '107,']",[],[],0,0.588754952,0.35877794
114931,what is an average blood sugar if your a1c is 17? ,[],"['HBA1C,', '=', '17.0,']",[],0,0.700386882,0.520913124
93306,fasting glucose of 145 what does it mean? ,"['Glucose,', '=', '145,']",[],[],0,0.623420954,0.190698087
