,,,,,TF-IDF,ELMo,Universal Sentence Encoder,Sentence length,Stopword count,WH question type,HbA1c test,HbA1c range,GS
1830847,Is 4.2 a good A1C level? ,[],"['HBA1C,', '=', '4.2,']",[],1,1,0.99999994,1,1,0,1,1,
,,,,,,,,,,,,,
3545649,Is 6.1 a good A1c level? Almost forgot I am a T1D.,[],"['HBA1C,', '=', '6.1,']",[],0.315721107,0.830190539,0.847075641,0.6,0.888888889,0,1,0.666666667,4.444444444
2881833,diabetes My A1C was 8.2 -is that ok? ,[],"['HBA1C,', '=', '8.2,']",[],0.101023425,0.64991051,0.724304557,0.866666667,0.888888889,0,1,0.333333333,4.333333333
713903,Is a 6.0 A1C average over a 10 year period very good control? ,[],"['HBA1C,', '=', '6.0,']",[],0.184477989,0.784008682,0.766533315,0.533333333,0.777777778,0,1,0.666666667,3.555555556
1524144,"My fasting blood glucose was 216, but my a1c is only 5.2. Does this mean that I have diabetes? ","['Glucose,', '=', '216,']","['HBA1C,', '=', '5.2,']",[],0.072559949,0.587227106,0.656507015,0.133333333,0.222222222,0,1,1,3.333333333
652880,Fasting was 102 and A1C 6.1...Doing low carb.. Cholesterol 201....Im scared.....? ,[],"['HBA1C,', '=', '6.1,']",[],0.062166888,0.619625449,0.601489782,0.666666667,0.888888889,0,1,0.666666667,2.333333333
2758956,How can i lower my A1C its 10.8 ? ,[],"['HBA1C,', '=', '10.8,']",[],0.119291692,0.631570578,0.660473168,0.8,0.666666667,1,1,0.333333333,2.333333333
1943697,Is a A1C blood level considered prediabetic? ,,,,0.235855898,0.596358061,0.774271727,0.933333333,1,0,0,0,1.666666667
1170767,What symptoms what I have if my A1C level was 13? ,[],"['HBA1C,', '=', '13.0,']",[],0.248103276,0.534083486,0.547745705,0.666666667,0.555555556,1,1,0.333333333,1.333333333
72773,"if creatinine level is 42 in the result of blood test, is it serious problem in the renal function? ",[],[],"['Creatinine', '=', '42']",0.259442856,0.51363349,0.714547217,0.133333333,0.444444444,0,0,0,0.333333333
1240126,Is 126 0ver 71 normal? ,[],[],[],0,0.723969638,0.552919865,0.933333333,0.888888889,0,0,0,0.333333333
