,,,,,TF-IDF,ELMo,Universal Sentence Encoder,Sentence length,Stopword count,WH question type,HbA1c test,HbA1c range,Q8 - GS
713903,Is a 6.0 A1C average over a 10 year period very good control? ,[],"['HBA1C,', '=', '6.0,']",[],1,1.000000238,1.000000119,1,1,0,1,1,
,,,,,,,,,,,,,
3545649,Is 6.1 a good A1c level? Almost forgot I am a T1D.,[],"['HBA1C,', '=', '6.1,']",[],0.143509411,0.695607483,0.745341897,0.928571429,0.857142857,0,1,1,4.666666667
450669,My Blood sugar A1c level is 7.6 is what i was trying to ask. it that too high? ,[],"['HBA1C,', '=', '7.6,']",[],0.052836857,0.555236936,0.673298955,0.642857143,0.285714286,1,1,0.666666667,4.333333333
865543,Not diabetic....3 months ago had a 6.1 Hemoglobin A1C...NOW ITS 5.8..Is that good? ,[],"['HBA1C,', '=', '6.1,', ',', 'HBA1C,', '=', '5.8,']",[],0.07333157,0.684742332,0.506350756,1,1,0,1,1,3.333333333
1330703,my A1C came back 8.5 and my sugar level was 156 how bad is this? How bad is this?,[],"['HBA1C,', '=', '8.5,']",[],0.041378005,0.57953918,0.67544502,0.571428571,0.714285714,1,1,0.666666667,3.333333333
10149,5.9 ok for nondiabetic a1c score.....? paper says normal.,[],"['HBA1C,', '=', '5.9,']",[],0.045659857,0.541407883,0.736622334,0.714285714,0.714285714,0,1,1,2.333333333
24420,my a1c is 6.1.would you take the med metformin are try dieting first? ,[],"['HBA1C,', '=', '6.1,']",[],0.044479757,0.497756124,0.557223737,1,0.714285714,0,1,1,2
575839,What is the diabetic formula to figure my average blood sugar if my A1C was 7.2? ,[],"['HBA1C,', '=', '7.2,']",[],0.151984413,0.541043043,0.649765313,0.785714286,0.571428571,1,1,0.666666667,1.666666667
652880,Fasting was 102 and A1C 6.1...Doing low carb.. Cholesterol 201....Im scared.....? ,[],"['HBA1C,', '=', '6.1,']",[],0.042545548,0.545391917,0.494657785,0.857142857,0.857142857,0,1,1,1.666666667
894504,how i can control my diabetes level? ,,,,0.246263218,0.434901923,0.360546619,0.571428571,0.857142857,1,0,0,0.666666667
209463,What is an average glucose reading for a 2 year old? Thanks in advance.,"['average_Glucose,', '=', '2,', 'year']",[],[],0.194895346,0.672755599,0.462789238,0.928571429,0.714285714,1,0,0,0.333333333
